Date,Event,unifiedAppName,"May 20 2024, 12:00AM - May 15 2025, 7:09PM"
2024-05-20,All Events [Unique Users],AT&T Office@Hand for Teams,8
2024-05-20,All Events [Unique Users],AvayaCloudDesktop,69728
2024-05-20,All Events [Unique Users],AvayaCloudMobile,41524
2024-05-20,All Events [Unique Users],AvayaCloudOfficeForGoogle,0
2024-05-20,All Events [Unique Users],AvayaCloudOfficeForTeams,0
2024-05-20,All Events [Unique Users],AvayaCloudWeb,4121
2024-05-20,All Events [Unique Users],BT Cloud Work for Teams,3
2024-05-20,All Events [Unique Users],BTCloudWorkDesktop,11880
2024-05-20,All Events [Unique Users],BTCloudWorkForTeams,635
2024-05-20,All Events [Unique Users],BTCloudWorkMobile,19551
2024-05-20,All Events [Unique Users],BTCloudWorkWeb,396
2024-05-20,All Events [Unique Users],BusinessConnectDesktop,23152
2024-05-20,All Events [Unique Users],BusinessConnectForTeams,1020
2024-05-20,All Events [Unique Users],BusinessConnectMobile,40717
2024-05-20,All Events [Unique Users],BusinessConnectWeb,1312
2024-05-20,All Events [Unique Users],OfficeAtHandDesktop,35514
2024-05-20,All Events [Unique Users],OfficeAtHandForTeams,698
2024-05-20,All Events [Unique Users],OfficeAtHandMobile,37378
2024-05-20,All Events [Unique Users],OfficeAtHandWeb,3926
2024-05-20,All Events [Unique Users],RCAppBizDesktop,385
2024-05-20,All Events [Unique Users],RCAppBizWeb,80
2024-05-20,All Events [Unique Users],RCAppClassicDesktop,0
2024-05-20,All Events [Unique Users],RCAppClassicWeb,0
2024-05-20,All Events [Unique Users],RCAppDesktoP,0
2024-05-20,All Events [Unique Users],RCAppDesktop,1242529
2024-05-20,All Events [Unique Users],RCAppMobile,991317
2024-05-20,All Events [Unique Users],RCAppSoloMobile,15
2024-05-20,All Events [Unique Users],RCAppWeb,142385
2024-05-20,All Events [Unique Users],RCIntuneAppMobile,2993
2024-05-20,All Events [Unique Users],RCSoloAppMobile,35
2024-05-20,All Events [Unique Users],RainbowOfficeDesktop,1
2024-05-20,All Events [Unique Users],RainbowOfficeMobile,1
2024-05-20,All Events [Unique Users],RainbowOfficeWeb,0
2024-05-20,All Events [Unique Users],RingCentral for Microsoft Teams,0
2024-05-20,All Events [Unique Users],RingCentral for Teams,28
2024-05-20,All Events [Unique Users],RingCentral,0
2024-05-20,All Events [Unique Users],RingCentralForTeams,59445
2024-05-20,All Events [Unique Users],RingExForGoogle,0
2024-05-20,All Events [Unique Users],RoomsController,467
2024-05-20,All Events [Unique Users],RoomsHost RCVideo,2
2024-05-20,All Events [Unique Users],RoomsHost,491
2024-05-20,All Events [Unique Users],TELUS Business Connect for Teams,12
2024-05-20,All Events [Unique Users],Unify Office,0
2024-05-20,All Events [Unique Users],UnifyOfficeDesktop,9483
2024-05-20,All Events [Unique Users],UnifyOfficeMobile,3855
2024-05-20,All Events [Unique Users],UnifyOfficeWeb,457
2024-05-20,All Events [Unique Users],VodafoneBusinessDesktop,11997
2024-05-20,All Events [Unique Users],VodafoneBusinessMobile,13713
2024-05-20,All Events [Unique Users],VodafoneBusinessWeb,391
2024-05-27,All Events [Unique Users],AT&T Office@Hand for Teams,6
2024-05-27,All Events [Unique Users],AvayaCloudDesktop,66304
2024-05-27,All Events [Unique Users],AvayaCloudMobile,40749
2024-05-27,All Events [Unique Users],AvayaCloudOfficeForGoogle,0
2024-05-27,All Events [Unique Users],AvayaCloudOfficeForTeams,0
2024-05-27,All Events [Unique Users],AvayaCloudWeb,3830
2024-05-27,All Events [Unique Users],BT Cloud Work for Teams,2
2024-05-27,All Events [Unique Users],BTCloudWorkDesktop,11291
2024-05-27,All Events [Unique Users],BTCloudWorkForTeams,605
2024-05-27,All Events [Unique Users],BTCloudWorkMobile,19130
2024-05-27,All Events [Unique Users],BTCloudWorkWeb,370
2024-05-27,All Events [Unique Users],BusinessConnectDesktop,24247
2024-05-27,All Events [Unique Users],BusinessConnectForTeams,1083
2024-05-27,All Events [Unique Users],BusinessConnectMobile,41709
2024-05-27,All Events [Unique Users],BusinessConnectWeb,1387
2024-05-27,All Events [Unique Users],OfficeAtHandDesktop,35107
2024-05-27,All Events [Unique Users],OfficeAtHandForTeams,684
2024-05-27,All Events [Unique Users],OfficeAtHandMobile,36929
2024-05-27,All Events [Unique Users],OfficeAtHandWeb,3684
2024-05-27,All Events [Unique Users],RCAppBizDesktop,379
2024-05-27,All Events [Unique Users],RCAppBizWeb,47
2024-05-27,All Events [Unique Users],RCAppClassicDesktop,0
2024-05-27,All Events [Unique Users],RCAppClassicWeb,0
2024-05-27,All Events [Unique Users],RCAppDesktoP,0
2024-05-27,All Events [Unique Users],RCAppDesktop,1254371
2024-05-27,All Events [Unique Users],RCAppMobile,980322
2024-05-27,All Events [Unique Users],RCAppSoloMobile,7
2024-05-27,All Events [Unique Users],RCAppWeb,135972
2024-05-27,All Events [Unique Users],RCIntuneAppMobile,2980
2024-05-27,All Events [Unique Users],RCSoloAppMobile,46
2024-05-27,All Events [Unique Users],RainbowOfficeDesktop,0
2024-05-27,All Events [Unique Users],RainbowOfficeMobile,4
2024-05-27,All Events [Unique Users],RainbowOfficeWeb,0
2024-05-27,All Events [Unique Users],RingCentral for Microsoft Teams,0
2024-05-27,All Events [Unique Users],RingCentral for Teams,24
2024-05-27,All Events [Unique Users],RingCentral,0
2024-05-27,All Events [Unique Users],RingCentralForTeams,59084
2024-05-27,All Events [Unique Users],RingExForGoogle,0
2024-05-27,All Events [Unique Users],RoomsController,457
2024-05-27,All Events [Unique Users],RoomsHost RCVideo,1
2024-05-27,All Events [Unique Users],RoomsHost,501
2024-05-27,All Events [Unique Users],TELUS Business Connect for Teams,7
2024-05-27,All Events [Unique Users],Unify Office,0
2024-05-27,All Events [Unique Users],UnifyOfficeDesktop,9038
2024-05-27,All Events [Unique Users],UnifyOfficeMobile,3847
2024-05-27,All Events [Unique Users],UnifyOfficeWeb,452
2024-05-27,All Events [Unique Users],VodafoneBusinessDesktop,12050
2024-05-27,All Events [Unique Users],VodafoneBusinessMobile,13855
2024-05-27,All Events [Unique Users],VodafoneBusinessWeb,345
2024-06-03,All Events [Unique Users],AT&T Office@Hand for Teams,7
2024-06-03,All Events [Unique Users],AvayaCloudDesktop,74385
2024-06-03,All Events [Unique Users],AvayaCloudMobile,41875
2024-06-03,All Events [Unique Users],AvayaCloudOfficeForGoogle,0
2024-06-03,All Events [Unique Users],AvayaCloudOfficeForTeams,0
2024-06-03,All Events [Unique Users],AvayaCloudWeb,4309
2024-06-03,All Events [Unique Users],BT Cloud Work for Teams,2
2024-06-03,All Events [Unique Users],BTCloudWorkDesktop,15017
2024-06-03,All Events [Unique Users],BTCloudWorkForTeams,655
2024-06-03,All Events [Unique Users],BTCloudWorkMobile,19692
2024-06-03,All Events [Unique Users],BTCloudWorkWeb,607
2024-06-03,All Events [Unique Users],BusinessConnectDesktop,27563
2024-06-03,All Events [Unique Users],BusinessConnectForTeams,1105
2024-06-03,All Events [Unique Users],BusinessConnectMobile,44081
2024-06-03,All Events [Unique Users],BusinessConnectWeb,1571
2024-06-03,All Events [Unique Users],OfficeAtHandDesktop,38798
2024-06-03,All Events [Unique Users],OfficeAtHandForTeams,742
2024-06-03,All Events [Unique Users],OfficeAtHandMobile,37884
2024-06-03,All Events [Unique Users],OfficeAtHandWeb,3812
2024-06-03,All Events [Unique Users],RCAppBizDesktop,443
2024-06-03,All Events [Unique Users],RCAppBizWeb,42
2024-06-03,All Events [Unique Users],RCAppClassicDesktop,0
2024-06-03,All Events [Unique Users],RCAppClassicWeb,0
2024-06-03,All Events [Unique Users],RCAppDesktoP,0
2024-06-03,All Events [Unique Users],RCAppDesktop,1268775
2024-06-03,All Events [Unique Users],RCAppMobile,1012351
2024-06-03,All Events [Unique Users],RCAppSoloMobile,4
2024-06-03,All Events [Unique Users],RCAppWeb,143257
2024-06-03,All Events [Unique Users],RCIntuneAppMobile,3019
2024-06-03,All Events [Unique Users],RCSoloAppMobile,43
2024-06-03,All Events [Unique Users],RainbowOfficeDesktop,0
2024-06-03,All Events [Unique Users],RainbowOfficeMobile,1
2024-06-03,All Events [Unique Users],RainbowOfficeWeb,0
2024-06-03,All Events [Unique Users],RingCentral for Microsoft Teams,0
2024-06-03,All Events [Unique Users],RingCentral for Teams,25
2024-06-03,All Events [Unique Users],RingCentral,0
2024-06-03,All Events [Unique Users],RingCentralForTeams,61493
2024-06-03,All Events [Unique Users],RingExForGoogle,0
2024-06-03,All Events [Unique Users],RoomsController,460
2024-06-03,All Events [Unique Users],RoomsHost RCVideo,0
2024-06-03,All Events [Unique Users],RoomsHost,489
2024-06-03,All Events [Unique Users],TELUS Business Connect for Teams,7
2024-06-03,All Events [Unique Users],Unify Office,0
2024-06-03,All Events [Unique Users],UnifyOfficeDesktop,10300
2024-06-03,All Events [Unique Users],UnifyOfficeMobile,3956
2024-06-03,All Events [Unique Users],UnifyOfficeWeb,500
2024-06-03,All Events [Unique Users],VodafoneBusinessDesktop,13811
2024-06-03,All Events [Unique Users],VodafoneBusinessMobile,14352
2024-06-03,All Events [Unique Users],VodafoneBusinessWeb,559
2024-06-10,All Events [Unique Users],AT&T Office@Hand for Teams,10
2024-06-10,All Events [Unique Users],AvayaCloudDesktop,73798
2024-06-10,All Events [Unique Users],AvayaCloudMobile,41684
2024-06-10,All Events [Unique Users],AvayaCloudOfficeForGoogle,0
2024-06-10,All Events [Unique Users],AvayaCloudOfficeForTeams,5
2024-06-10,All Events [Unique Users],AvayaCloudWeb,4529
2024-06-10,All Events [Unique Users],BT Cloud Work for Teams,2
2024-06-10,All Events [Unique Users],BTCloudWorkDesktop,15256
2024-06-10,All Events [Unique Users],BTCloudWorkForTeams,865
2024-06-10,All Events [Unique Users],BTCloudWorkMobile,19647
2024-06-10,All Events [Unique Users],BTCloudWorkWeb,672
2024-06-10,All Events [Unique Users],BusinessConnectDesktop,27263
2024-06-10,All Events [Unique Users],BusinessConnectForTeams,1408
2024-06-10,All Events [Unique Users],BusinessConnectMobile,42556
2024-06-10,All Events [Unique Users],BusinessConnectWeb,1543
2024-06-10,All Events [Unique Users],OfficeAtHandDesktop,38011
2024-06-10,All Events [Unique Users],OfficeAtHandForTeams,969
2024-06-10,All Events [Unique Users],OfficeAtHandMobile,37854
2024-06-10,All Events [Unique Users],OfficeAtHandWeb,3682
2024-06-10,All Events [Unique Users],RCAppBizDesktop,438
2024-06-10,All Events [Unique Users],RCAppBizWeb,51
2024-06-10,All Events [Unique Users],RCAppClassicDesktop,1
2024-06-10,All Events [Unique Users],RCAppClassicWeb,0
